symbol,year,enterpriseValue,averagePrice,nextYearGrowth,ROA,Sales_Margin,ROCE,EV/EBIT,PER,Dividend_Yield,Acid_Test,RSCD
AIRI,2015,67242933.33333333,9.122133333333332,-0.460542855472404,-0.0023569405099150144,0.001945501106387211,0.04612640163098879,0.010766930651448877,-0.0130295336095149,0.06997110116263533,0.1779299734944672,0.008467242064884336
ALSN,2018,7967386866.666666,42.35363333333333,0.06659719866615144,0.03770356384234128,0.08505344636933285,0.09171949286846276,0.11622380279714127,0.11259144354599827,0.014095955373520909,0.6514084507042254,1.0
ALSN,2017,7774088750.000002,36.26059166666667,0.16803481097821735,0.02996432818073722,0.07206012378426171,0.0621301775147929,0.0810384368200067,0.09266258065746766,0.016363035076417898,0.5731414868105515,1.0
ALSN,2016,6417250983.333333,26.48018333333333,0.3693482107059937,0.012735267624330346,0.06133844147375285,0.051538354123999264,0.06901709176566179,0.048020726183394806,0.02247968847859245,0.6165984804208066,1.0
ALSN,2015,6837376625.0,26.758625,-0.010405679165751951,0.010338217947554669,0.053958102527948436,0.04292940026352701,0.05908698937584121,0.03849015047764445,0.02229599501063771,0.7803676953381484,1.0
ALE,2018,4923051508.333334,69.19711666666667,0.13375629572234102,0.008426911907066795,0.03356466034965968,0.01981974098704935,0.046008050010567535,0.048854384215987486,0.03227027102147364,0.3056035546778573,0.90311004784689
ALE,2017,4673514249.166666,65.22924166666665,0.06082969690612972,0.008474409448818897,0.04047770027478335,0.02241603886502852,0.05449860349637653,0.05166184563235069,0.032611165042023924,0.38667425968109337,0.9655041698256256
ALE,2016,3881572666.6666665,51.182916666666664,0.2744338524409998,0.007913133865970976,0.04170709860416511,0.02306148478823573,0.06335061098087562,0.0611736999571167,0.0404542111113708,0.23817271589486855,0.4765503875968992
ALE,2015,3545433999.1666665,42.23490833333333,0.21186285673245414,0.007188563510016098,0.03543797093649085,0.0203954086123728,0.06535166077113824,0.06804151354836313,0.04720952640953048,0.4609658678286129,1.0
AAPL,2019,224737238294.3333,52.54891666666666,0.8420988697832337,0.04080752460740408,0.06143004297124233,0.11997466801965236,0.2925060417175089,0.2366553324440989,0.06047011435460824,0.7506432206435992,1.0
AAPL,2018,243693378522.30005,45.48055,0.15541515365725925,0.04069382732927746,0.06673506654869256,0.13607805220403776,0.29915872331889704,0.2752759228606649,0.06340534266626527,0.5449959782999333,1.0
AAPL,2017,208763384522.95,36.23295,0.2552262512436884,0.032206602916452415,0.06690107052182485,0.1204010550520763,0.3069934900052097,0.2603191604328081,0.06874760314298622,0.6139524272422481,1.0
AAPL,2016,139185005370.94998,24.53315833333333,0.4768970838446881,0.03550589705489204,0.06958852526676529,0.14382534355724705,0.4409383024876419,0.3489874811944245,0.09280972479069008,0.6628420626281548,1.0
ALG,2018,1191577700.0,95.03680833333333,0.09587785153769808,0.02545823153874615,0.025051000077317902,0.2896056517459031,0.08394249069951544,0.06443643721551044,0.004492996003215246,1.0,1.0
ALG,2017,1127889600.0,91.10521666666666,0.043154407733329535,0.017319450154845224,0.024314978408119425,0.3564783021027503,0.07731785096697408,0.040534634588249886,0.004220394990188085,1.0,1.0
